service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20200227,20200527
8,1,1,1,1,1,0,0,20200227,20200527
10,0,0,0,0,1,0,0,20200227,20200527
13,1,1,1,1,1,0,0,20200227,20200527
14,0,0,0,0,0,1,0,20200227,20200527
15,1,1,1,1,1,0,0,20200227,20200527
19,0,0,1,0,0,0,0,20200227,20200527
20,0,0,0,0,0,0,1,20200227,20200527
21,0,0,0,0,0,0,1,20200227,20200527
23,1,0,0,0,0,0,0,20200227,20200527
25,0,0,0,1,0,0,0,20200227,20200527
28,1,1,1,1,1,0,0,20200227,20200527
29,1,1,1,1,1,0,0,20200227,20200527
30,1,0,0,0,0,0,0,20200227,20200527
31,1,0,0,0,0,0,0,20200227,20200527
32,1,1,1,1,1,0,0,20200227,20200527
33,0,0,0,0,0,1,1,20200227,20200527
34,0,1,0,0,0,0,0,20200227,20200527
35,0,0,0,1,0,0,0,20200227,20200527
36,0,0,0,0,1,0,0,20200227,20200527
38,1,1,1,1,0,0,0,20200227,20200527
39,0,1,1,1,1,0,0,20200227,20200527
40,1,1,1,0,1,0,0,20200227,20200527
41,1,0,1,1,1,0,0,20200227,20200527
42,1,1,0,1,1,0,0,20200227,20200527
46,1,0,1,1,1,0,0,20200227,20200527
53,1,1,1,0,0,0,0,20200227,20200527
56,0,0,0,0,0,1,0,20200227,20200527
57,0,0,0,0,0,0,1,20200227,20200527
60,1,1,1,1,0,0,0,20200227,20200527
61,1,0,1,0,1,0,0,20200227,20200527
62,0,1,0,1,0,0,0,20200227,20200527
71,1,0,0,0,0,0,0,20200227,20200527
72,0,1,0,0,0,0,0,20200227,20200527
73,0,0,1,0,0,0,0,20200227,20200527
80,1,0,0,0,1,0,0,20200227,20200527
88,0,0,0,0,0,0,1,20200227,20200527
90,0,0,0,0,1,0,0,20200227,20200527
92,0,0,0,0,0,0,1,20200227,20200527
96,1,0,0,0,0,0,0,20200227,20200527
127,0,0,0,0,0,1,0,20200227,20200527
128,0,0,0,0,0,0,1,20200227,20200527
134,1,0,0,0,0,0,0,20200227,20200527
143,1,1,1,1,0,0,0,20200227,20200527
164,0,0,0,0,0,1,0,20200227,20200527
165,0,0,0,0,0,0,1,20200227,20200527
180,1,1,1,1,1,0,0,20200227,20200527
183,0,0,0,0,0,1,1,20200227,20200527
184,0,0,0,0,0,0,1,20200227,20200527
192,1,0,0,0,0,0,0,20200227,20200527
196,0,0,0,0,0,1,0,20200227,20200527
197,0,0,0,0,1,0,0,20200227,20200527
202,1,0,1,0,0,0,0,20200227,20200527
203,0,0,0,0,0,0,0,20200227,20200527
204,0,0,0,0,0,0,0,20200227,20200527
205,0,0,0,0,0,0,0,20200227,20200527
206,0,0,0,0,0,0,0,20200227,20200527
207,0,0,0,0,0,0,0,20200227,20200527
208,0,0,0,0,0,0,0,20200227,20200527
209,0,0,0,0,0,0,0,20200227,20200527
210,0,0,0,0,0,0,0,20200227,20200527
211,0,0,0,0,0,0,0,20200227,20200527
212,0,0,0,0,0,0,0,20200227,20200527
213,0,0,0,0,0,0,0,20200227,20200527
215,0,0,0,0,0,0,0,20200227,20200527
216,0,0,0,0,0,0,0,20200227,20200527
217,0,0,0,0,0,0,0,20200227,20200527
218,0,0,0,0,0,0,0,20200227,20200527
219,0,0,0,0,0,0,0,20200227,20200527
220,0,0,0,0,0,0,0,20200227,20200527
221,0,0,0,0,0,0,0,20200227,20200527
223,0,0,0,0,0,0,0,20200227,20200527
224,0,0,0,0,0,0,0,20200227,20200527
225,0,0,0,0,0,0,0,20200227,20200527
226,0,0,0,0,0,0,0,20200227,20200527
227,0,0,0,0,0,0,0,20200227,20200527
228,0,0,0,0,0,0,0,20200227,20200527
229,0,0,0,0,0,0,0,20200227,20200527
230,0,0,0,0,0,0,0,20200227,20200527
231,0,0,0,0,0,0,0,20200227,20200527
232,0,0,0,0,0,0,0,20200227,20200527
233,0,0,0,0,0,0,0,20200227,20200527
234,0,0,0,0,0,0,0,20200227,20200527
237,0,0,0,0,0,0,0,20200227,20200527
238,0,0,0,0,0,0,0,20200227,20200527
239,0,0,0,0,0,0,0,20200227,20200527
240,0,0,0,0,0,0,0,20200227,20200527
241,0,0,0,0,0,0,0,20200227,20200527
242,0,0,0,0,0,0,0,20200227,20200527
243,0,0,0,0,0,0,0,20200227,20200527
244,0,0,0,0,0,0,0,20200227,20200527
245,0,0,0,0,0,0,0,20200227,20200527
246,0,0,0,0,0,0,0,20200227,20200527
247,0,0,0,0,0,0,0,20200227,20200527
248,0,0,0,0,0,0,0,20200227,20200527
249,0,0,0,0,0,0,0,20200227,20200527
250,0,0,0,0,0,0,0,20200227,20200527
252,1,1,1,1,1,0,0,20200227,20200527
254,0,0,0,0,0,0,0,20200227,20200527
255,0,0,0,0,0,0,0,20200227,20200527
256,0,0,0,0,0,0,0,20200227,20200527
257,0,0,0,0,0,0,0,20200227,20200527
262,0,0,0,0,0,0,0,20200227,20200527
263,0,0,0,0,0,0,0,20200227,20200527
264,0,0,0,0,0,0,0,20200227,20200527
265,0,0,0,0,0,0,0,20200227,20200527
266,0,0,0,0,0,0,0,20200227,20200527
267,0,0,0,0,0,0,0,20200227,20200527
268,0,0,0,0,0,0,0,20200227,20200527
269,0,0,0,0,0,0,0,20200227,20200527
271,0,0,0,0,0,0,0,20200227,20200527
272,0,0,0,0,0,0,0,20200227,20200527
285,0,0,0,0,0,0,0,20200227,20200527
286,0,0,0,0,0,0,0,20200227,20200527
287,0,0,0,0,0,0,0,20200227,20200527
288,0,0,0,0,0,0,0,20200227,20200527
336,0,0,0,0,0,0,0,20200227,20200527
337,0,0,0,0,0,0,0,20200227,20200527
338,0,0,0,0,0,0,0,20200227,20200527
339,0,0,0,0,0,0,0,20200227,20200527
340,0,0,0,0,0,0,0,20200227,20200527
341,0,0,0,0,0,0,0,20200227,20200527
342,0,0,0,0,0,0,0,20200227,20200527
343,0,0,0,0,0,0,0,20200227,20200527
