service_id,date,exception_type
1,20200302,1
1,20200410,1
1,20200413,1
1,20200425,1
1,20200427,1
8,20200302,2
8,20200410,2
8,20200413,2
8,20200427,2
10,20200410,2
13,20200227,2
13,20200228,2
13,20200302,2
13,20200303,2
13,20200304,2
13,20200305,2
13,20200306,2
13,20200309,2
13,20200310,2
13,20200311,2
13,20200312,2
13,20200313,2
13,20200316,2
13,20200317,2
13,20200318,2
13,20200319,2
13,20200320,2
13,20200323,2
13,20200324,2
13,20200325,2
13,20200326,2
13,20200327,2
13,20200330,2
13,20200331,2
13,20200401,2
13,20200402,2
13,20200403,2
13,20200406,2
13,20200407,2
13,20200408,2
13,20200409,2
13,20200410,2
13,20200413,2
13,20200427,2
13,20200428,2
13,20200429,2
13,20200430,2
13,20200501,2
13,20200504,2
13,20200505,2
13,20200506,2
13,20200507,2
13,20200508,2
13,20200511,2
13,20200512,2
13,20200513,2
13,20200514,2
13,20200515,2
13,20200518,2
13,20200519,2
13,20200520,2
13,20200521,2
13,20200522,2
13,20200525,2
13,20200526,2
13,20200527,2
14,20200425,2
15,20200302,2
15,20200410,2
15,20200413,2
15,20200414,2
15,20200415,2
15,20200416,2
15,20200417,2
15,20200420,2
15,20200421,2
15,20200422,2
15,20200423,2
15,20200424,2
15,20200427,2
19,20200415,2
19,20200422,2
20,20200302,1
20,20200413,1
20,20200427,1
21,20200302,1
21,20200410,1
21,20200413,1
21,20200425,1
21,20200427,1
23,20200309,2
23,20200316,2
23,20200323,2
23,20200330,2
23,20200406,2
23,20200413,2
23,20200420,2
23,20200427,2
23,20200504,2
23,20200511,2
23,20200518,2
23,20200525,2
28,20200302,2
28,20200410,2
28,20200413,2
28,20200414,2
28,20200415,2
28,20200416,2
28,20200417,2
28,20200420,2
28,20200421,2
28,20200422,2
28,20200423,2
28,20200424,2
28,20200427,2
29,20200302,2
29,20200410,2
29,20200413,2
29,20200414,2
29,20200415,2
29,20200416,2
29,20200417,2
29,20200427,2
30,20200309,2
30,20200316,2
30,20200323,2
30,20200330,2
30,20200406,2
30,20200413,2
30,20200420,2
30,20200427,2
30,20200504,2
30,20200511,2
30,20200518,2
30,20200525,2
31,20200309,2
31,20200316,2
31,20200323,2
31,20200330,2
31,20200406,2
31,20200413,2
31,20200420,2
31,20200427,2
31,20200504,2
31,20200511,2
31,20200518,2
31,20200525,2
32,20200302,2
32,20200410,2
32,20200413,2
32,20200427,2
33,20200302,1
33,20200413,1
33,20200427,1
34,20200414,2
34,20200421,2
35,20200416,2
35,20200423,2
36,20200410,2
36,20200417,2
36,20200424,2
38,20200302,2
38,20200413,2
38,20200414,2
38,20200415,2
38,20200416,2
38,20200420,2
38,20200421,2
38,20200422,2
38,20200423,2
38,20200427,2
39,20200410,2
39,20200414,2
39,20200415,2
39,20200416,2
39,20200417,2
39,20200421,2
39,20200422,2
39,20200423,2
39,20200424,2
40,20200302,2
40,20200410,2
40,20200413,2
40,20200414,2
40,20200415,2
40,20200417,2
40,20200420,2
40,20200421,2
40,20200422,2
40,20200424,2
40,20200427,2
41,20200302,2
41,20200410,2
41,20200413,2
41,20200415,2
41,20200416,2
41,20200417,2
41,20200420,2
41,20200422,2
41,20200423,2
41,20200424,2
41,20200427,2
42,20200302,2
42,20200410,2
42,20200413,2
42,20200414,2
42,20200416,2
42,20200417,2
42,20200420,2
42,20200421,2
42,20200423,2
42,20200424,2
42,20200427,2
46,20200302,2
46,20200410,2
46,20200413,2
46,20200414,1
46,20200421,1
46,20200427,2
53,20200302,2
53,20200413,2
53,20200414,2
53,20200415,2
53,20200420,2
53,20200421,2
53,20200422,2
53,20200427,2
56,20200425,2
56,20200502,2
56,20200509,2
56,20200516,2
56,20200523,2
57,20200302,1
57,20200410,1
57,20200413,1
57,20200425,1
57,20200427,1
57,20200503,2
57,20200510,2
57,20200517,2
57,20200524,2
60,20200302,2
60,20200413,2
60,20200427,2
61,20200302,2
61,20200410,2
61,20200413,2
61,20200414,1
61,20200416,1
61,20200421,1
61,20200423,1
61,20200427,2
62,20200414,2
62,20200416,2
62,20200421,2
62,20200423,2
71,20200302,2
71,20200413,2
71,20200427,2
80,20200302,2
80,20200410,2
80,20200413,2
80,20200417,2
80,20200420,2
80,20200424,2
80,20200427,2
88,20200302,1
88,20200413,1
88,20200425,1
88,20200427,1
90,20200228,2
90,20200306,2
90,20200313,2
90,20200320,2
90,20200327,2
90,20200403,2
90,20200417,2
90,20200424,2
90,20200501,2
90,20200508,2
90,20200515,2
90,20200522,2
92,20200301,2
92,20200307,1
92,20200308,2
92,20200315,2
92,20200322,2
92,20200329,2
92,20200405,2
92,20200412,2
92,20200419,2
92,20200426,2
92,20200503,2
92,20200510,2
92,20200517,2
92,20200524,2
96,20200302,2
96,20200309,2
96,20200316,2
96,20200323,2
96,20200330,2
96,20200406,2
96,20200413,2
96,20200420,2
96,20200425,1
96,20200427,2
96,20200504,2
96,20200511,2
96,20200518,2
96,20200525,2
127,20200229,2
127,20200307,2
127,20200314,2
127,20200321,2
127,20200328,2
127,20200404,2
127,20200411,2
127,20200418,2
127,20200425,2
128,20200301,2
128,20200308,2
128,20200315,2
128,20200322,2
128,20200329,2
128,20200405,2
128,20200412,2
128,20200419,2
128,20200426,2
134,20200309,2
134,20200316,2
134,20200323,2
134,20200330,2
134,20200406,2
134,20200420,2
134,20200504,2
134,20200511,2
134,20200518,2
134,20200525,2
143,20200302,2
143,20200413,2
143,20200414,2
143,20200415,2
143,20200416,2
143,20200427,2
164,20200425,2
165,20200302,1
165,20200410,1
165,20200413,1
165,20200425,1
165,20200427,1
180,20200302,2
180,20200410,2
180,20200413,2
180,20200414,2
180,20200415,2
180,20200416,2
180,20200417,2
180,20200427,2
183,20200425,2
184,20200302,1
184,20200410,1
184,20200413,1
184,20200425,1
184,20200427,1
192,20200309,2
192,20200316,2
192,20200323,2
192,20200330,2
192,20200406,2
192,20200410,1
192,20200420,2
192,20200504,2
192,20200511,2
192,20200518,2
192,20200525,2
196,20200404,2
196,20200411,2
196,20200418,2
196,20200425,2
196,20200502,2
196,20200509,2
196,20200516,2
196,20200523,2
197,20200410,2
203,20200227,1
203,20200303,1
203,20200305,1
203,20200310,1
203,20200312,1
203,20200317,1
203,20200319,1
203,20200324,1
203,20200326,1
203,20200331,1
203,20200402,1
203,20200407,1
203,20200409,1
203,20200414,1
203,20200416,1
203,20200421,1
203,20200423,1
203,20200428,1
203,20200430,1
203,20200505,1
203,20200507,1
203,20200512,1
203,20200514,1
203,20200519,1
203,20200521,1
203,20200526,1
204,20200227,1
204,20200303,1
204,20200305,1
204,20200310,1
204,20200312,1
204,20200317,1
204,20200319,1
204,20200324,1
204,20200326,1
204,20200331,1
204,20200402,1
204,20200407,1
204,20200414,1
204,20200416,1
204,20200421,1
204,20200423,1
204,20200428,1
204,20200430,1
204,20200505,1
204,20200507,1
204,20200512,1
204,20200514,1
204,20200519,1
204,20200521,1
204,20200526,1
205,20200308,1
205,20200315,1
205,20200322,1
205,20200329,1
205,20200405,1
205,20200419,1
205,20200426,1
205,20200503,1
205,20200510,1
205,20200517,1
205,20200524,1
206,20200228,1
206,20200302,1
206,20200304,1
206,20200306,1
206,20200309,1
206,20200311,1
206,20200313,1
206,20200316,1
206,20200318,1
206,20200320,1
206,20200323,1
206,20200325,1
206,20200327,1
206,20200330,1
206,20200401,1
206,20200403,1
206,20200406,1
206,20200408,1
206,20200413,1
206,20200415,1
206,20200417,1
206,20200420,1
206,20200422,1
206,20200424,1
206,20200427,1
206,20200429,1
206,20200501,1
206,20200504,1
206,20200506,1
206,20200508,1
206,20200511,1
206,20200513,1
206,20200515,1
206,20200518,1
206,20200520,1
206,20200522,1
206,20200525,1
206,20200527,1
207,20200227,1
207,20200228,1
207,20200301,1
207,20200302,1
207,20200303,1
207,20200304,1
207,20200305,1
207,20200306,1
207,20200308,1
207,20200309,1
207,20200310,1
207,20200311,1
207,20200312,1
207,20200313,1
207,20200315,1
207,20200316,1
207,20200317,1
207,20200318,1
207,20200319,1
207,20200320,1
207,20200322,1
207,20200323,1
207,20200324,1
207,20200325,1
207,20200326,1
207,20200327,1
207,20200329,1
207,20200330,1
207,20200331,1
207,20200401,1
207,20200402,1
207,20200403,1
207,20200405,1
207,20200406,1
207,20200407,1
207,20200408,1
207,20200409,1
207,20200410,1
207,20200411,1
207,20200412,1
207,20200413,1
207,20200414,1
207,20200415,1
207,20200416,1
207,20200417,1
207,20200418,1
207,20200419,1
207,20200420,1
207,20200421,1
207,20200422,1
207,20200423,1
207,20200424,1
207,20200425,1
207,20200426,1
207,20200427,1
207,20200428,1
207,20200429,1
207,20200430,1
207,20200501,1
207,20200503,1
207,20200504,1
207,20200505,1
207,20200506,1
207,20200507,1
207,20200508,1
207,20200510,1
207,20200511,1
207,20200512,1
207,20200513,1
207,20200514,1
207,20200515,1
207,20200517,1
207,20200518,1
207,20200519,1
207,20200520,1
207,20200521,1
207,20200522,1
207,20200524,1
207,20200525,1
207,20200526,1
207,20200527,1
208,20200229,1
208,20200307,1
208,20200314,1
208,20200321,1
208,20200328,1
208,20200404,1
208,20200410,1
208,20200418,1
208,20200425,1
208,20200502,1
208,20200509,1
208,20200516,1
208,20200523,1
209,20200228,1
209,20200306,1
209,20200313,1
209,20200320,1
209,20200327,1
209,20200403,1
209,20200409,1
209,20200417,1
209,20200424,1
209,20200501,1
209,20200508,1
209,20200515,1
209,20200522,1
210,20200227,1
210,20200228,1
210,20200302,1
210,20200303,1
210,20200304,1
210,20200305,1
210,20200306,1
210,20200309,1
210,20200310,1
210,20200311,1
210,20200312,1
210,20200313,1
210,20200316,1
210,20200317,1
210,20200318,1
210,20200319,1
210,20200320,1
210,20200323,1
210,20200324,1
210,20200325,1
210,20200326,1
210,20200327,1
210,20200330,1
210,20200331,1
210,20200401,1
210,20200402,1
210,20200403,1
210,20200406,1
210,20200407,1
210,20200408,1
210,20200409,1
210,20200410,1
210,20200413,1
210,20200414,1
210,20200415,1
210,20200416,1
210,20200417,1
210,20200420,1
210,20200421,1
210,20200422,1
210,20200423,1
210,20200424,1
210,20200427,1
210,20200428,1
210,20200429,1
210,20200430,1
210,20200501,1
210,20200504,1
210,20200505,1
210,20200506,1
210,20200507,1
210,20200508,1
210,20200511,1
210,20200512,1
210,20200513,1
210,20200514,1
210,20200515,1
210,20200518,1
210,20200519,1
210,20200520,1
210,20200521,1
210,20200522,1
210,20200525,1
210,20200526,1
210,20200527,1
211,20200301,1
211,20200308,1
211,20200315,1
211,20200322,1
211,20200329,1
211,20200405,1
211,20200411,1
211,20200412,1
211,20200418,1
211,20200419,1
211,20200425,1
211,20200426,1
211,20200503,1
211,20200510,1
211,20200517,1
211,20200524,1
212,20200302,1
212,20200304,1
212,20200309,1
212,20200311,1
212,20200316,1
212,20200318,1
212,20200323,1
212,20200325,1
212,20200330,1
212,20200401,1
212,20200406,1
212,20200408,1
212,20200413,1
212,20200415,1
212,20200420,1
212,20200422,1
212,20200427,1
212,20200429,1
212,20200504,1
212,20200506,1
212,20200511,1
212,20200513,1
212,20200518,1
212,20200520,1
212,20200525,1
212,20200527,1
213,20200227,1
213,20200303,1
