route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
PTR-KGL-1718,S38030_32,594613,0,St Barbaras Square,38030
CRS-CAR-944,71,665686,1,Alexandra St/Robinson St,42025
CRS-CAR-944,73,665687,1,Alexandra St/Robinson St,42025
CRS-CAR-944,10,665688,1,Alexandra St/Robinson St,42025
CRS-CAR-944,71,665689,1,Alexandra St/Robinson St,42025
CRS-CAR-944,73,665690,1,Alexandra St/Robinson St,42025
CRS-CAR-944,10,665691,1,Alexandra St/Robinson St,42025
SCT-PCA-905,20,700826,0,Claisebrook Stn,43605
SCT-PCA-905,14,700827,0,Claisebrook Stn,43605
SCT-PCA-905,32,700828,0,Claisebrook Stn,43605
SCT-PCA-2,32,701039,1,East Perth,43614
SCT-PCA-2,32,701041,1,Waca,43616
SCT-PCA-2,20,701042,1,Waca,43616
SCT-PCA-2,14,701043,1,Waca,43616
SCT-PCA-2,S43617_32,701044,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701045,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701046,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701047,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701048,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701049,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701050,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701051,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701052,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701053,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701054,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701055,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701056,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701057,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701058,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701059,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701060,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701061,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701062,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701063,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701064,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701065,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701066,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701067,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701068,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701069,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701070,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701071,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701072,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701073,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701074,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701075,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701076,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701077,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701078,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701079,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701080,1,William St / Hay St Mall West,43617
SCT-PCA-2,S43617_32,701081,1,William St / Hay St Mall West,43617
